Facility Permit #,Establishment Name,Facility Name,Facility Street No.,Facility Street Name,Facility Unit No,Facility City,Facility State,Facility Zip,Business Status,Facility Type,Permit Type,Web Site,Operational Status,Location 1
4554,Muddy's,Muddy's,318,E 51st St.,,Kansas City,MISSOURI,64112,Closed,Restaurant/Deli 0-5 Employees,,http://www.muddyskc.com,Operational,"318 51st St
Kansas City, MO 64112
(39.03505952100045, -94.5910144129997)"
4977,LUCKY 7 SERVICE BAR ,LUCKY 7 SERVICE BAR ,3200 N. Ameristar Dr. ,,,KANSAS CITY,MISSOURI,64161,Closed,Restaurant/Deli 0-5 Employees,,,Operational,"3200 Ameristar Dr
KANSAS CITY, MO 64161
(39.151010200000485, -94.47726143599965)"
5296,BALL PARK GRILL /STAND #127        ,BALL PARK GRILL /STAND #127        ,1 ROYAL WAY,,,KANSAS CITY,MISSOURI,64129,Closed,Mobile Unit/Pushcart,,,Operational,"1 ROYAL WAY
KANSAS CITY, MO 64129
(39.05149644800048, -94.48282213699969)"
31684,Centerplate STAND #110,Centerplate STAND #110,ONE ARROWHEAD DR.,,,KANSAS CITY,MISSOURI,64129,Closed,Restaurant/Deli 0-5 Employees,,,Operational,"ONE ARROWHEAD DR
KANSAS CITY, MO 64129
(39.03902217600046, -94.49601940699966)"
30350,7-Eleven #17258 Deli,7-Eleven #17258 Deli,319 E ,63rd St,,Kansas City,MISSOURI,64113,Open,Restaurant/Deli 6-9 Employees,Restaurant/Deli,,Operational,"319 63rd St
Kansas City, MO 64113
(39.01364269900046, -94.58407213699968)"
2129,Rockhurst University Coffee Shop,Rockhurst University Coffee Shop,5225,Troost,,Kansas City,MISSOURI,64110,Open,Restaurant/Deli 0-5 Employees,,,Operational,"5225 Troost
Kansas City, MO 64110
(39.03086813200048, -94.57356337999965)"
1664,Safa Halal,Safa Halal,2203,Lexington Ave,,Kansas City,MISSOURI,64124,Closed,Retail Grocery/Market Under 3000 sq. ft.,,,Operational,"2203 Lexington Ave
Kansas City, MO 64124
(39.111029165000446, -94.55547130199966)"
3035,7-Eleven #17258 Retail,7-Eleven #17258 Retail,319 E ,63rd St,,Kansas City,MISSOURI,64113,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"319 63rd St
Kansas City, MO 64113
(39.01364269900046, -94.58407213699968)"
17791,American Food & Vending @ Blue Cross/BS,American Food & Vending @ Blue Cross/BS,2301,Main,,Kansas City,MISSOURI,64108,Closed,Restaurant/Deli 0-5 Employees,,,Operational,"2301 Main
Kansas City, MO 64108
(39.085087468000495, -94.58395487999968)"
2492,BRYANT SCHOOL CAFETERIA,BRYANT SCHOOL CAFETERIA,319 WESTOVER RD,,,KANSAS CITY,MISSOURI,64113,Closed,School - Public 0-5 Employees,,,Operational,"319 WESTOVER RD
KANSAS CITY, MO 64113
(39.025253465000446, -94.59240801099969)"
